Kraft_RAW,Spænding_V
0.00,1283.08
-0.00,1277.63
-0.00,1283.08
-0.00,1283.08
0.00,1283.08
-0.00,1283.08
-0.00,1283.08
-0.00,1283.08
-0.00,1288.54
0.00,1288.54
-0.00,1283.08
0.00,1283.08
-0.00,1283.08
0.00,1277.63
0.00,1283.08
-0.00,1277.63
0.00,1277.63
-0.00,1283.08
0.00,1277.63
-0.00,1283.08
0.00,1283.08
-0.00,1283.08
0.00,1288.54
0.00,1283.08
-0.00,1283.08
-0.00,1294.00
0.00,1283.08
-0.00,1288.54
0.00,1288.54
0.01,1288.54
0.52,1283.08
1.33,1283.08
1.68,1283.08
2.01,1283.08
2.41,1277.63
2.73,1283.08
3.11,1277.63
3.47,1277.63
3.80,1277.63
4.53,1283.08
5.29,1277.63
5.83,1277.63
6.28,1277.63
6.77,1272.17
7.01,1272.17
7.22,1277.63
7.66,1272.17
8.35,1277.63
8.78,1266.71
9.61,1266.71
10.31,1261.25
10.86,1266.71
11.56,1261.25
12.06,1261.25
12.29,1266.71
12.92,1255.79
13.52,1261.25
14.18,1255.79
14.71,1261.25
15.26,1261.25
15.82,1255.79
16.37,1255.79
17.10,1255.79
17.64,1250.33
18.35,1244.87
19.01,1250.33
18.98,1244.87
19.86,1244.87
20.78,1244.87
21.59,1239.41
22.36,1233.95
23.17,1228.49
24.06,1233.95
24.77,1228.49
25.29,1228.49
26.12,1223.03
26.89,1228.49
27.43,1223.03
27.94,1223.03
28.58,1223.03
29.21,1217.57
30.01,1217.57
30.84,1206.65
31.57,1206.65
32.23,1206.65
32.90,1201.19
33.56,1195.73
34.09,1190.27
34.68,1195.73
35.26,1195.73
36.09,1190.27
37.12,1184.81
37.71,1184.81
38.73,1179.35
39.55,1179.35
40.52,1173.89
41.26,1173.89
42.09,1168.43
42.05,1173.89
42.33,1162.97
43.59,1157.51
44.47,1152.05
45.53,1152.05
46.73,1146.59
47.80,1141.13
48.95,1130.21
49.73,1135.67
50.34,1135.67
50.73,1124.75
51.39,1130.21
51.93,1124.75
52.54,1119.29
53.37,1119.29
54.20,1119.29
55.07,1113.83
55.97,1113.83
56.89,1108.37
58.06,1097.45
59.13,1091.99
60.27,1086.53
61.58,1081.07
62.94,1070.15
65.13,1059.23
66.92,1053.77
68.35,1053.77
68.14,1053.77
69.17,1048.31
70.24,1048.31
71.14,1037.39
72.37,1031.93
73.67,1026.47
75.22,1015.55
76.52,1010.09
77.78,1004.63
79.10,999.17
80.10,993.71
81.19,988.25
82.40,988.25
83.52,977.33
84.50,977.33
85.24,966.41
86.08,966.41
86.84,966.41
87.89,960.95
88.76,950.03
89.78,950.03
90.57,950.03
91.46,939.11
92.29,939.11
93.35,928.19
93.83,928.19
93.61,933.65
94.45,928.19
96.15,917.27
97.39,906.35
98.74,900.89
99.91,900.89
100.71,895.43
101.26,895.43
101.23,895.43
101.16,895.43
101.06,895.43
100.98,895.43
100.92,889.97
100.87,895.43
100.82,889.97
100.77,895.43
100.73,895.43
100.69,895.43
100.66,900.89
