Kraft_RAW,Spænding_V
0.00,191.10
0.00,185.64
0.00,185.64
0.00,185.64
0.00,185.64
0.00,191.10
0.00,185.64
0.00,191.10
0.00,185.64
0.00,191.10
0.00,185.64
0.00,191.10
0.00,191.10
0.00,191.10
0.04,191.10
0.72,202.02
2.10,212.94
3.13,218.40
3.92,218.40
4.39,223.86
4.94,229.32
5.54,229.32
6.23,240.24
6.98,240.24
7.70,251.16
8.44,251.16
9.13,256.62
9.81,262.08
10.46,262.08
11.08,273.00
11.86,278.46
12.52,278.46
12.89,283.92
13.51,294.84
14.28,300.30
15.00,305.76
15.69,311.22
16.33,316.68
16.84,316.68
17.41,327.60
18.26,327.60
18.81,333.06
19.22,343.98
19.75,349.44
20.36,349.44
20.97,354.90
21.82,371.28
22.64,365.82
22.63,371.28
23.01,382.20
24.12,393.12
24.95,398.58
25.67,398.58
26.15,409.50
26.67,414.96
27.59,420.42
28.31,431.33
29.13,442.25
29.80,442.25
30.28,447.71
30.74,453.17
31.33,464.09
31.93,469.55
32.79,480.47
33.45,485.93
34.09,491.39
34.84,502.31
35.59,507.77
36.12,513.23
36.81,518.69
37.44,529.61
38.49,545.99
39.50,545.99
40.28,556.91
40.85,562.37
41.59,573.29
42.20,578.75
43.10,595.13
44.11,595.13
44.63,606.05
45.42,616.97
46.01,622.43
46.91,627.89
47.70,644.27
48.04,638.81
47.98,633.35
48.10,655.19
49.05,655.19
49.41,660.65
50.01,666.11
50.99,677.03
51.80,687.95
52.45,698.87
53.22,704.33
53.98,715.25
54.61,726.17
55.28,726.17
55.95,737.09
56.67,748.01
57.16,753.47
57.67,758.93
58.41,769.85
59.24,780.77
60.18,791.69
61.03,797.15
61.67,808.07
62.38,813.53
63.09,824.45
63.90,835.37
64.69,846.29
65.57,851.75
65.58,851.75
65.62,862.67
66.75,873.59
67.49,879.05
68.34,889.97
69.13,906.35
70.14,917.27
70.94,928.19
71.81,933.65
72.51,944.57
73.30,955.49
74.13,966.41
75.19,977.33
76.13,982.79
76.90,999.17
77.97,1010.09
78.81,1015.55
79.37,1026.47
80.23,1042.85
81.14,1048.31
81.77,1059.23
82.44,1064.69
82.99,1070.15
83.75,1086.53
84.70,1102.91
85.79,1113.83
86.86,1130.21
87.85,1141.13
88.90,1152.05
89.86,1168.43
90.95,1173.89
90.92,1173.89
91.01,1179.35
92.07,1195.73
93.46,1212.11
94.57,1228.49
95.69,1239.41
96.79,1250.33
97.84,1261.25
98.73,1272.17
99.53,1283.08
100.11,1288.54
100.76,1294.00
100.76,1294.00
100.50,1294.00
100.44,1294.00
100.36,1294.00
