Kraft_RAW,Spænding_V
0.00,191.10
0.00,185.64
0.00,180.18
0.00,185.64
0.00,185.64
0.00,185.64
0.00,185.64
0.00,185.64
0.00,185.64
0.00,191.10
0.00,180.18
0.15,191.10
1.35,202.02
2.24,196.56
2.97,207.48
3.60,212.94
4.18,212.94
4.80,218.40
5.28,229.32
5.79,223.86
6.19,229.32
6.65,234.78
7.20,240.24
7.64,240.24
7.55,240.24
7.61,240.24
8.34,245.70
9.21,256.62
10.20,262.08
10.98,267.54
11.61,278.46
12.33,278.46
13.07,283.92
13.95,289.38
14.70,294.84
15.24,300.30
15.84,311.22
16.59,316.68
17.28,322.14
17.87,322.14
18.38,333.06
18.85,338.52
19.54,338.52
20.23,349.44
20.95,354.90
21.51,360.36
22.13,365.82
22.65,371.28
23.35,376.74
24.05,382.20
24.83,393.12
25.42,393.12
25.41,393.12
25.46,404.04
26.77,414.96
28.24,431.33
29.31,436.79
30.05,442.25
30.91,447.71
31.65,464.09
32.42,469.55
33.09,480.47
33.59,480.47
34.14,485.93
34.81,496.85
35.47,502.31
35.88,502.31
36.47,513.23
37.15,518.69
37.63,529.61
38.26,529.61
38.78,535.07
39.49,545.99
40.47,556.91
41.34,573.29
42.32,578.75
43.15,589.67
43.92,600.59
44.74,606.05
45.74,616.97
46.67,627.89
47.53,638.81
48.34,644.27
49.41,660.65
50.01,666.11
50.59,677.03
51.33,687.95
52.05,693.41
52.89,704.33
53.29,698.87
53.16,704.33
53.65,715.25
54.61,726.17
55.37,731.63
56.37,742.55
57.14,758.93
58.06,769.85
58.94,780.77
59.80,797.15
60.76,802.61
61.66,813.53
62.91,835.37
64.03,840.83
64.75,851.75
65.68,857.21
66.34,868.13
67.11,879.05
67.75,889.97
68.38,889.97
68.94,900.89
69.54,911.81
70.25,922.73
70.88,922.73
71.17,933.65
71.76,944.57
72.35,944.57
72.89,955.49
73.45,960.95
74.09,971.87
74.72,977.33
75.26,988.25
75.95,993.71
76.56,1004.63
77.11,1010.09
77.68,1026.47
78.31,1031.93
78.95,1031.93
79.10,1037.39
79.04,1042.85
79.52,1053.77
81.16,1070.15
82.15,1081.07
82.81,1091.99
83.68,1102.91
84.55,1113.83
85.22,1124.75
86.05,1135.67
86.58,1135.67
87.29,1146.59
88.01,1162.97
88.84,1168.43
89.72,1184.81
90.46,1190.27
91.19,1206.65
92.06,1217.57
92.78,1217.57
93.32,1233.95
94.13,1239.41
95.09,1250.33
95.75,1261.25
96.50,1266.71
97.20,1283.08
97.97,1288.54
98.58,1299.46
99.43,1304.92
100.20,1310.38
100.84,1326.76
101.49,1337.68
102.15,1337.68
102.45,1343.14
102.67,1348.60
102.80,1348.60
102.65,1348.60
102.58,1348.60
102.60,1354.06
102.54,1348.60
102.45,1348.60
102.40,1354.06
102.41,1348.60
102.38,1343.14
102.35,1348.60
102.29,1348.60
102.26,1348.60
