Kraft_RAW,Spænding_V
0.01,468.09
0.00,468.09
0.01,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,468.09
0.00,478.72
0.00,468.09
0.00,478.72
0.00,478.72
0.00,468.09
0.01,468.09
0.00,468.09
0.00,478.72
0.00,468.09
0.00,468.09
0.00,478.72
0.00,468.09
0.01,489.36
2.22,489.36
3.21,500.00
5.96,500.00
5.88,500.00
6.20,510.64
7.53,510.64
7.93,510.64
9.03,510.64
9.16,521.28
9.41,521.28
10.04,510.64
10.83,521.28
11.75,521.28
12.73,531.91
13.07,542.55
13.67,542.55
14.13,531.91
14.78,553.19
15.26,542.55
16.10,542.55
16.43,542.55
17.74,542.55
17.68,563.83
18.38,563.83
18.41,553.19
18.99,563.83
19.52,563.83
19.84,563.83
20.15,585.11
22.46,585.11
22.95,585.11
23.54,585.11
23.78,595.74
24.89,585.11
25.06,595.74
25.50,606.38
26.17,595.74
26.55,606.38
27.25,606.38
27.43,606.38
27.81,606.38
28.43,617.02
28.99,617.02
29.92,617.02
30.73,627.66
31.66,627.66
32.19,638.30
32.71,648.94
32.96,638.30
33.28,648.94
33.64,648.94
34.60,638.30
35.03,648.94
35.88,648.94
36.32,659.57
37.23,659.57
37.40,670.21
37.61,670.21
38.78,680.85
39.46,670.21
40.31,680.85
40.78,680.85
41.08,680.85
41.23,691.49
41.85,691.49
42.50,691.49
42.98,702.13
44.02,702.13
44.32,712.77
44.82,712.77
45.44,702.13
46.12,723.40
46.93,712.77
47.33,723.40
48.09,734.04
49.36,744.68
50.29,744.68
50.81,744.68
51.46,755.32
51.99,744.68
52.93,765.96
53.25,765.96
53.70,765.96
54.19,755.32
54.95,765.96
55.45,776.60
55.68,776.60
56.24,776.60
56.78,787.23
57.16,787.23
57.93,787.23
58.80,797.87
58.79,797.87
59.81,797.87
60.25,808.51
60.68,808.51
61.27,808.51
61.71,819.15
62.14,819.15
62.66,808.51
62.75,808.51
63.01,819.15
63.39,808.51
63.70,829.79
64.30,829.79
64.93,840.43
65.40,840.43
65.59,840.43
65.77,840.43
66.15,840.43
66.45,840.43
66.79,840.43
66.69,840.43
66.76,851.06
67.01,851.06
67.60,851.06
68.00,861.70
68.96,861.70
69.75,861.70
70.27,861.70
70.39,872.34
71.06,872.34
71.68,872.34
72.36,882.98
72.77,882.98
72.77,872.34
73.04,882.98
73.68,893.62
74.07,904.26
75.24,904.26
75.73,904.26
76.47,904.26
76.72,914.89
77.27,914.89
78.23,925.53
78.61,914.89
79.00,925.53
79.54,925.53
79.79,925.53
79.77,925.53
79.87,936.17
80.53,936.17
81.62,946.81
82.95,946.81
83.41,946.81
83.85,957.45
84.66,968.09
85.50,968.09
86.18,978.72
86.93,978.72
87.50,978.72
88.14,978.72
89.10,989.36
90.12,1000.00
90.41,1000.00
90.46,1000.00
91.42,1010.64
92.11,1000.00
92.58,1010.64
92.89,1021.28
93.20,1010.64
93.45,1031.91
94.83,1021.28
96.00,1031.91
97.30,1042.55
98.39,1042.55
98.31,1053.19
98.86,1053.19
100.54,1074.47
101.29,1074.47
102.28,1074.47
102.34,1063.83
102.81,1085.11
103.67,1085.11
104.57,1085.11
105.34,1085.11
105.41,1085.11
105.33,1085.11
105.31,1095.74
105.29,1095.74
105.26,1085.11
105.24,1095.74
105.21,1095.74
105.19,1095.74
105.17,1106.38
105.16,1095.74
105.14,1095.74
105.13,1095.74
105.11,1106.38
105.10,1106.38
105.09,1095.74
