Kraft_RAW,Spænding_V
0.00,414.89
-0.00,404.26
-0.00,404.26
0.00,414.89
0.00,404.26
0.00,404.26
-0.00,414.89
-0.00,404.26
-0.00,404.26
0.00,404.26
0.00,404.26
-0.00,414.89
0.00,414.89
0.00,404.26
0.00,404.26
-0.00,414.89
0.00,414.89
0.00,404.26
0.00,404.26
0.00,414.89
1.76,436.17
4.51,468.09
8.34,468.09
8.83,489.36
11.88,489.36
11.92,510.64
13.93,510.64
14.13,521.28
15.26,510.64
15.80,521.28
16.73,521.28
17.54,531.91
18.24,531.91
18.39,531.91
18.92,542.55
19.40,542.55
20.32,553.19
20.55,553.19
20.91,563.83
21.05,553.19
21.35,574.47
23.36,574.47
23.35,574.47
23.49,585.11
24.90,585.11
24.93,585.11
25.24,595.74
26.15,595.74
26.26,595.74
27.13,606.38
27.42,606.38
27.47,606.38
28.28,617.02
28.42,617.02
28.53,617.02
29.21,617.02
29.30,617.02
29.86,627.66
29.91,617.02
30.48,627.66
30.70,627.66
30.85,638.30
31.62,638.30
31.74,648.94
33.09,648.94
33.12,648.94
33.82,659.57
34.09,648.94
34.47,659.57
34.78,659.57
35.59,670.21
36.12,670.21
36.41,680.85
36.83,680.85
37.01,680.85
37.33,680.85
37.72,691.49
38.91,702.13
39.72,702.13
40.43,702.13
41.20,712.77
41.74,723.40
42.43,712.77
42.47,723.40
42.98,723.40
43.35,744.68
45.24,744.68
45.32,744.68
45.61,755.32
45.96,744.68
46.44,755.32
47.07,765.96
47.35,765.96
48.00,765.96
48.28,765.96
49.61,787.23
50.04,787.23
50.75,787.23
50.76,787.23
51.37,797.87
51.94,797.87
52.36,808.51
53.23,808.51
53.29,808.51
53.35,808.51
53.07,819.15
53.36,808.51
54.04,819.15
54.04,829.79
54.02,819.15
54.00,819.15
53.99,819.15
53.99,819.15
54.12,808.51
54.12,819.15
54.38,819.15
54.62,819.15
54.50,829.79
55.29,819.15
55.27,829.79
55.52,819.15
55.75,840.43
56.17,840.43
56.42,829.79
56.63,829.79
57.16,851.06
57.62,840.43
57.43,840.43
57.58,851.06
57.97,851.06
57.81,851.06
58.67,851.06
58.95,861.70
59.30,861.70
59.63,851.06
59.53,872.34
59.59,872.34
59.67,872.34
60.28,872.34
60.63,872.34
60.83,872.34
61.48,882.98
61.84,882.98
62.11,882.98
62.26,882.98
62.30,882.98
62.48,882.98
62.60,882.98
62.81,904.26
62.93,893.62
63.22,893.62
63.24,893.62
63.33,904.26
63.46,893.62
63.40,893.62
63.85,904.26
64.02,893.62
64.19,904.26
64.52,904.26
64.78,914.89
65.08,904.26
65.16,904.26
65.60,925.53
66.37,925.53
66.58,914.89
66.35,914.89
66.29,925.53
66.46,914.89
66.60,925.53
66.68,925.53
67.01,936.17
67.68,936.17
68.02,936.17
68.30,946.81
68.54,946.81
68.98,946.81
69.69,946.81
69.55,946.81
69.54,946.81
69.83,946.81
69.97,946.81
70.23,946.81
70.29,957.45
70.54,957.45
70.96,968.09
71.54,968.09
72.09,968.09
72.14,968.09
72.55,978.72
72.36,968.09
72.90,978.72
73.49,978.72
74.43,989.36
75.15,989.36
75.84,1000.00
76.24,1000.00
76.15,1000.00
76.59,1010.64
77.44,1010.64
77.65,1021.28
77.87,1021.28
78.10,1021.28
78.45,1031.91
79.26,1031.91
79.53,1031.91
79.97,1042.55
80.40,1031.91
80.93,1042.55
81.22,1042.55
81.46,1053.19
80.91,1042.55
81.51,1053.19
82.12,1042.55
82.47,1063.83
82.80,1063.83
83.71,1063.83
83.88,1063.83
83.93,1063.83
84.13,1053.19
84.14,1063.83
84.44,1074.47
85.05,1074.47
85.26,1074.47
85.39,1074.47
85.65,1085.11
86.04,1095.74
86.43,1095.74
86.63,1085.11
86.71,1095.74
87.33,1095.74
87.86,1085.11
88.28,1106.38
88.59,1106.38
88.80,1106.38
89.64,1106.38
89.90,1117.02
90.33,1117.02
90.32,1127.66
90.90,1127.66
91.85,1138.30
92.44,1127.66
93.30,1148.94
94.17,1159.57
94.78,1148.94
95.11,1170.21
95.61,1159.57
95.75,1159.57
95.76,1159.57
96.15,1170.21
96.22,1170.21
96.66,1170.21
96.36,1170.21
96.73,1180.85
97.61,1170.21
97.86,1180.85
98.35,1191.49
98.76,1202.13
98.78,1191.49
98.98,1191.49
99.81,1191.49
100.56,1191.49
100.88,1202.13
101.12,1212.77
101.34,1202.13
101.89,1212.77
101.99,1212.77
