Kraft_RAW,Spænding_V
0.00,372.34
-0.00,382.98
0.01,393.62
3.12,393.62
4.05,404.26
5.06,404.26
5.87,404.26
6.67,414.89
7.31,425.53
7.97,425.53
8.36,425.53
8.68,436.17
9.30,425.53
9.53,425.53
9.83,436.17
10.57,446.81
11.16,436.17
11.15,446.81
11.54,446.81
11.61,446.81
12.08,446.81
12.49,457.45
13.12,457.45
13.53,457.45
13.75,457.45
14.43,457.45
14.39,468.09
15.11,468.09
15.18,457.45
15.46,457.45
15.51,468.09
15.48,468.09
15.59,468.09
15.83,468.09
15.87,478.72
16.30,468.09
16.45,468.09
16.90,478.72
17.27,478.72
17.49,489.36
17.68,478.72
17.78,478.72
18.30,489.36
18.47,489.36
18.54,478.72
19.01,489.36
19.14,500.00
19.48,489.36
19.49,489.36
20.43,500.00
20.98,500.00
20.98,500.00
21.13,500.00
21.05,510.64
21.71,510.64
22.20,510.64
22.22,510.64
22.47,510.64
23.07,510.64
23.08,510.64
23.09,521.28
23.16,521.28
23.13,510.64
23.21,510.64
23.26,500.00
23.36,521.28
23.55,521.28
23.56,521.28
23.56,521.28
23.53,521.28
23.56,521.28
23.90,510.64
24.00,521.28
23.93,521.28
24.02,531.91
24.31,521.28
24.32,521.28
24.32,521.28
24.33,521.28
24.26,531.91
24.97,531.91
25.39,531.91
25.36,531.91
25.34,531.91
25.38,531.91
25.64,542.55
26.30,553.19
26.28,531.91
26.23,531.91
26.44,542.55
26.56,553.19
27.32,542.55
27.45,542.55
27.79,553.19
28.14,553.19
28.23,553.19
28.44,553.19
28.52,553.19
28.87,553.19
29.17,563.83
29.64,563.83
30.00,563.83
30.18,574.47
30.66,574.47
30.73,574.47
31.18,574.47
31.26,574.47
31.14,574.47
31.55,574.47
31.82,574.47
32.55,585.11
32.78,585.11
33.28,585.11
33.17,585.11
33.07,585.11
33.27,585.11
33.38,585.11
33.46,585.11
33.37,574.47
33.85,585.11
34.08,595.74
34.08,595.74
34.09,595.74
34.23,595.74
34.28,595.74
34.33,595.74
35.18,595.74
35.17,595.74
35.15,595.74
34.95,595.74
35.77,606.38
36.24,606.38
36.40,606.38
36.33,606.38
36.54,606.38
36.94,606.38
36.93,617.02
37.08,617.02
38.32,617.02
38.14,627.66
38.41,617.02
38.23,617.02
39.14,617.02
38.99,617.02
39.06,627.66
39.37,627.66
39.54,627.66
39.57,627.66
39.89,627.66
40.15,638.30
40.14,627.66
40.13,627.66
40.62,638.30
40.67,627.66
40.61,627.66
41.04,638.30
41.46,638.30
41.39,648.94
41.48,648.94
41.69,648.94
42.41,648.94
42.34,638.30
42.47,648.94
43.62,659.57
43.68,659.57
43.67,648.94
43.87,648.94
44.32,659.57
44.39,659.57
44.29,670.21
44.40,670.21
45.32,670.21
45.55,670.21
45.53,670.21
45.73,670.21
46.18,680.85
46.50,670.21
46.56,680.85
46.61,680.85
47.01,680.85
47.29,680.85
47.46,680.85
47.44,680.85
47.50,680.85
48.10,680.85
48.09,680.85
48.28,691.49
48.90,691.49
48.96,680.85
49.10,702.13
50.11,691.49
50.04,702.13
49.97,691.49
50.24,712.77
50.58,702.13
50.48,702.13
51.10,712.77
51.51,702.13
51.50,712.77
52.90,712.77
53.10,712.77
53.18,723.40
53.47,723.40
53.94,723.40
54.07,734.04
54.66,723.40
54.67,744.68
55.56,734.04
55.60,734.04
55.90,734.04
55.80,744.68
55.83,734.04
56.33,734.04
56.63,744.68
56.61,744.68
56.93,744.68
57.09,755.32
57.84,755.32
57.91,744.68
58.28,755.32
58.52,744.68
58.42,755.32
58.58,755.32
58.92,755.32
58.83,755.32
58.91,776.60
59.48,765.96
59.58,755.32
59.54,755.32
59.59,765.96
60.01,776.60
60.64,776.60
60.58,776.60
60.56,776.60
60.54,776.60
60.52,755.32
60.51,776.60
60.50,776.60
60.48,765.96
60.48,765.96
60.45,765.96
60.22,765.96
60.66,765.96
60.93,776.60
61.20,776.60
61.91,776.60
61.97,787.23
62.28,787.23
62.41,787.23
62.35,797.87
62.46,787.23
62.79,787.23
63.06,797.87
63.66,787.23
63.75,787.23
63.91,797.87
63.97,787.23
63.93,797.87
64.40,797.87
65.12,808.51
65.49,797.87
65.55,808.51
65.59,808.51
66.41,819.15
67.01,808.51
66.89,819.15
67.16,819.15
67.87,829.79
68.24,829.79
68.44,819.15
68.20,819.15
68.90,840.43
69.39,840.43
69.48,829.79
69.31,840.43
69.50,840.43
69.88,840.43
70.03,840.43
70.09,829.79
70.46,851.06
70.91,840.43
71.02,840.43
70.94,851.06
71.46,840.43
71.59,851.06
71.55,851.06
72.57,861.70
73.38,851.06
73.33,861.70
73.71,872.34
75.25,872.34
75.39,872.34
75.22,872.34
75.63,882.98
75.83,872.34
76.03,872.34
76.50,872.34
76.29,882.98
76.55,893.62
77.01,882.98
77.22,893.62
78.15,893.62
78.07,914.89
78.80,904.26
78.97,904.26
79.18,904.26
79.45,904.26
79.44,904.26
79.63,904.26
80.11,904.26
80.11,904.26
80.45,904.26
81.25,925.53
81.19,925.53
81.56,925.53
82.26,925.53
82.16,925.53
82.36,936.17
83.03,936.17
83.01,936.17
83.69,936.17
84.14,936.17
84.26,957.45
85.00,946.81
84.92,957.45
85.21,957.45
85.64,946.81
85.62,957.45
86.50,957.45
86.55,957.45
86.75,978.72
88.46,978.72
88.49,968.09
88.61,978.72
88.47,968.09
89.17,978.72
89.46,978.72
90.29,989.36
90.51,989.36
91.36,1000.00
92.16,1010.64
92.27,1010.64
93.09,1010.64
93.31,1010.64
93.35,1021.28
94.41,1021.28
94.55,1021.28
94.83,1031.91
96.08,1042.55
95.97,1031.91
96.15,1042.55
97.76,1031.91
97.68,1042.55
97.76,1042.55
98.23,1042.55
98.05,1053.19
99.24,1053.19
99.49,1053.19
99.77,1063.83
100.04,1063.83
99.90,1063.83
100.55,1074.47
100.65,1063.83
101.09,1063.83
101.29,1074.47
101.21,1063.83
101.11,1063.83
101.08,1063.83
101.06,1074.47
101.04,1063.83
101.02,1063.83
101.01,1074.47
100.89,1053.19
100.61,1074.47
101.39,1074.47
102.09,1085.11
102.49,1085.11
103.65,1085.11
103.49,1085.11
104.09,1095.74
104.84,1095.74
104.74,1085.11
105.19,1106.38
105.80,1106.38
105.70,1106.38
105.79,1117.02
106.62,1106.38
106.95,1117.02
107.06,1117.02
107.70,1117.02
107.65,1117.02
107.82,1117.02
108.59,1127.66
108.48,1127.66
108.69,1127.66
108.86,1127.66
108.64,1127.66
108.97,1127.66
109.45,1138.30
109.62,1138.30
109.91,1138.30
110.34,1138.30
110.26,1138.30
111.19,1148.94
111.57,1148.94
111.60,1159.57
112.87,1159.57
113.03,1159.57
113.49,1170.21
114.27,1170.21
114.29,1170.21
115.61,1170.21
115.48,1180.85
116.38,1180.85
117.11,1191.49
117.07,1202.13
118.90,1202.13
119.18,1202.13
119.51,1212.77
120.57,1212.77
120.45,1202.13
120.41,1212.77
120.39,1212.77
120.36,1212.77
120.33,1212.77
120.30,1212.77
120.28,1212.77
120.26,1212.77
120.24,1212.77
120.22,1212.77
120.19,1212.77
120.18,1202.13
120.16,1202.13
120.15,1212.77
120.15,1212.77
120.12,1212.77
