Kraft_RAW,Spænding_V
0.00,234.78
-0.00,229.32
0.00,234.78
0.00,234.78
-0.00,234.78
0.00,229.32
0.00,229.32
0.93,245.70
3.51,256.62
4.37,262.08
5.03,267.54
5.89,273.00
6.80,273.00
7.78,283.92
8.86,289.38
9.29,294.84
10.26,305.76
11.55,305.76
12.22,311.22
13.27,316.68
14.51,327.60
16.03,338.52
17.22,343.98
18.60,354.90
19.95,365.82
20.74,360.36
21.32,376.74
23.63,387.66
25.28,398.58
26.38,404.04
27.22,414.96
28.40,414.96
29.30,425.87
30.28,436.79
31.29,442.25
32.09,442.25
32.72,453.17
33.76,458.63
34.58,458.63
35.39,469.55
36.12,475.01
36.88,480.47
37.65,485.93
38.44,491.39
39.38,496.85
40.34,502.31
41.10,507.77
41.85,518.69
42.66,518.69
43.36,529.61
44.26,535.07
44.96,535.07
45.64,540.53
46.48,545.99
47.22,551.45
47.98,556.91
49.02,562.37
49.03,567.83
50.20,578.75
51.39,578.75
52.31,589.67
53.17,595.13
54.06,595.13
54.80,600.59
55.53,606.05
56.41,616.97
57.29,616.97
58.05,633.35
58.79,633.35
59.48,638.81
60.16,638.81
61.12,649.73
61.84,655.19
62.68,660.65
63.54,666.11
63.44,660.65
64.68,671.57
65.71,677.03
66.43,682.49
67.22,687.95
68.11,698.87
69.08,698.87
69.88,704.33
70.73,709.79
71.43,715.25
72.52,726.17
73.31,726.17
74.09,731.63
74.98,742.55
76.13,748.01
76.23,748.01
77.48,758.93
78.49,764.39
79.34,764.39
80.11,775.31
80.80,780.77
81.59,780.77
82.55,786.23
83.18,791.69
83.84,797.15
84.64,808.07
85.71,808.07
86.69,818.99
88.31,824.45
89.23,824.45
89.24,829.91
90.43,840.83
91.38,840.83
92.63,857.21
93.76,857.21
94.81,862.67
95.85,873.59
96.80,873.59
97.67,884.51
98.37,884.51
98.91,889.97
100.06,895.43
100.70,900.89
100.76,900.89
100.69,900.89
