Kraft_RAW,Spænding_V
0.00,1162.97
0.00,1162.97
0.00,1157.51
0.00,1162.97
0.00,1162.97
0.00,1162.97
0.00,1162.97
0.00,1162.97
0.00,1157.51
0.00,1162.97
0.00,1157.51
0.00,1157.51
0.00,1157.51
0.00,1152.05
0.00,1157.51
0.00,1157.51
0.00,1152.05
0.00,1152.05
0.00,1152.05
0.00,1152.05
0.00,1152.05
0.00,1152.05
0.00,1152.05
0.00,1152.05
0.00,1152.05
0.33,1146.59
1.37,1141.13
2.22,1135.67
2.93,1135.67
3.52,1130.21
4.13,1124.75
4.64,1124.75
5.24,1119.29
5.89,1119.29
6.40,1119.29
6.74,1113.83
6.73,1113.83
7.82,1102.91
8.56,1102.91
9.22,1097.45
9.80,1091.99
10.34,1091.99
10.89,1086.53
11.51,1086.53
12.02,1086.53
12.49,1081.07
13.08,1081.07
13.74,1075.61
14.23,1070.15
14.71,1070.15
15.51,1064.69
15.99,1053.77
16.55,1053.77
17.02,1053.77
17.40,1048.31
18.52,1042.85
19.58,1037.39
20.37,1031.93
20.91,1031.93
21.43,1026.47
21.92,1021.01
22.28,1021.01
22.70,1015.55
23.20,1015.55
23.77,1010.09
24.34,1010.09
24.91,1004.63
25.33,1004.63
25.72,999.17
26.10,999.17
26.44,993.71
26.78,988.25
27.16,993.71
27.64,982.79
28.09,982.79
28.70,982.79
29.11,977.33
29.65,977.33
29.95,971.87
30.49,966.41
30.94,966.41
31.07,966.41
31.82,955.49
32.78,950.03
33.74,939.11
34.98,939.11
35.83,933.65
36.51,928.19
37.04,928.19
37.43,928.19
37.79,917.27
38.20,917.27
38.67,917.27
39.09,906.35
39.57,906.35
40.02,900.89
40.57,900.89
41.17,895.43
41.72,895.43
42.28,884.51
42.94,879.05
44.02,873.59
44.88,868.13
45.36,868.13
45.89,868.13
46.29,868.13
46.62,857.21
47.12,851.75
47.62,851.75
48.21,851.75
48.69,846.29
49.17,840.83
49.70,835.37
50.28,835.37
51.02,824.45
51.66,829.91
51.63,829.91
52.12,818.99
53.25,813.53
54.24,808.07
55.25,802.61
56.10,797.15
56.78,791.69
57.35,791.69
58.22,780.77
59.00,780.77
59.58,775.31
60.32,769.85
60.92,764.39
61.36,764.39
61.83,758.93
62.44,753.47
63.06,748.01
63.64,742.55
64.58,737.09
65.03,737.09
65.60,731.63
66.46,726.17
67.23,726.17
67.90,715.25
68.71,709.79
69.34,704.33
69.93,704.33
70.79,698.87
71.72,693.41
72.51,687.95
73.27,677.03
74.40,671.57
75.25,666.11
75.88,671.57
76.14,671.57
76.13,666.11
77.00,660.65
78.10,644.27
79.38,638.81
80.41,638.81
80.90,633.35
81.55,627.89
82.10,622.43
82.75,622.43
83.36,616.97
84.10,611.51
84.95,606.05
85.57,600.59
86.32,600.59
87.06,589.67
88.01,584.21
89.30,578.75
89.96,573.29
90.85,567.83
91.79,562.37
93.14,551.45
95.24,535.07
96.88,529.61
97.96,535.07
98.51,524.15
99.14,518.69
99.74,518.69
99.85,518.69
100.00,513.23
100.19,518.69
100.19,518.69
100.15,513.23
