Kraft_RAW,Spænding_V
0.00,319.15
0.00,319.15
-0.00,319.15
0.00,319.15
-0.00,319.15
0.00,319.15
0.00,308.51
-0.00,308.51
-0.00,319.15
0.00,319.15
0.00,319.15
0.00,319.15
0.00,308.51
0.00,319.15
0.00,308.51
-0.00,319.15
0.00,319.15
0.00,308.51
0.00,308.51
0.00,319.15
0.00,308.51
0.00,319.15
0.00,319.15
-0.00,319.15
0.00,329.79
0.00,319.15
0.00,319.15
0.00,319.15
0.00,329.79
0.00,329.79
0.00,319.15
0.00,319.15
0.00,319.15
0.00,329.79
0.00,329.79
-0.00,319.15
-0.00,329.79
0.00,319.15
0.00,319.15
0.00,329.79
0.04,319.15
1.00,340.43
1.94,329.79
2.29,340.43
2.75,351.06
3.17,340.43
3.34,351.06
3.58,351.06
3.86,351.06
4.38,361.70
4.95,372.34
5.65,372.34
6.17,382.98
6.71,382.98
7.37,393.62
7.90,393.62
8.27,393.62
8.76,393.62
9.29,404.26
9.78,404.26
10.26,414.89
10.76,414.89
11.19,414.89
11.58,414.89
11.96,425.53
12.31,425.53
12.76,436.17
13.10,436.17
13.52,436.17
13.84,446.81
14.23,446.81
14.62,446.81
14.96,457.45
15.37,446.81
15.80,457.45
16.26,457.45
16.75,478.72
17.08,468.09
17.22,468.09
17.20,468.09
17.40,478.72
18.20,478.72
18.85,478.72
19.73,489.36
20.29,500.00
20.74,500.00
21.25,500.00
21.80,510.64
22.08,510.64
22.58,521.28
23.15,521.28
23.95,531.91
24.61,531.91
25.31,531.91
25.81,553.19
26.31,553.19
26.95,553.19
27.69,563.83
28.38,563.83
28.76,574.47
28.70,574.47
28.80,574.47
29.02,585.11
29.81,585.11
30.49,595.74
31.07,606.38
31.63,595.74
32.19,606.38
32.84,617.02
33.52,627.66
34.12,617.02
34.67,627.66
35.28,638.30
35.75,638.30
36.04,648.94
35.96,638.30
35.95,638.30
36.02,648.94
36.62,648.94
37.33,648.94
38.04,659.57
38.59,670.21
39.10,680.85
39.69,680.85
40.25,691.49
40.87,691.49
41.35,702.13
41.70,702.13
42.06,712.77
42.51,712.77
43.04,712.77
43.75,723.40
44.19,723.40
44.00,723.40
44.05,734.04
44.47,744.68
45.34,744.68
46.20,755.32
46.86,765.96
47.67,765.96
48.38,776.60
49.05,787.23
49.46,787.23
49.91,787.23
50.37,797.87
50.91,797.87
51.36,797.87
51.44,797.87
51.25,797.87
51.26,797.87
51.32,808.51
51.84,808.51
52.55,819.15
53.23,829.79
53.81,829.79
54.41,851.06
55.06,851.06
55.72,851.06
56.44,861.70
57.12,872.34
57.65,872.34
58.43,893.62
59.14,893.62
59.92,893.62
59.98,893.62
59.95,893.62
59.93,893.62
59.96,904.26
60.57,914.89
61.34,925.53
62.12,936.17
62.86,936.17
63.42,936.17
63.82,936.17
64.21,946.81
64.67,946.81
65.00,957.45
65.01,946.81
64.88,946.81
64.89,957.45
65.18,957.45
65.81,968.09
66.55,978.72
67.26,989.36
67.78,978.72
68.35,1000.00
68.94,989.36
69.27,1000.00
69.73,1000.00
70.19,1021.28
70.80,1021.28
71.31,1021.28
71.68,1031.91
72.13,1031.91
72.76,1031.91
73.18,1053.19
73.83,1053.19
74.31,1053.19
74.66,1053.19
74.39,1053.19
74.36,1063.83
74.84,1063.83
75.58,1074.47
76.02,1085.11
76.39,1085.11
77.03,1095.74
77.82,1095.74
78.54,1106.38
79.22,1117.02
80.13,1117.02
80.85,1138.30
81.36,1127.66
81.11,1127.66
80.88,1127.66
80.79,1127.66
81.60,1138.30
82.55,1159.57
83.38,1159.57
84.07,1170.21
84.70,1170.21
85.29,1170.21
85.82,1180.85
86.45,1202.13
86.94,1191.49
87.55,1202.13
88.00,1202.13
88.44,1212.77
88.87,1223.40
88.88,1212.77
88.83,1212.77
89.16,1223.40
90.18,1234.04
90.77,1234.04
91.49,1244.68
92.27,1255.32
92.86,1265.96
93.28,1265.96
93.73,1265.96
94.22,1265.96
94.74,1276.60
95.41,1287.23
95.87,1297.87
96.56,1297.87
97.14,1308.51
97.67,1308.51
97.86,1308.51
97.79,1308.51
97.91,1319.15
98.91,1329.79
99.59,1340.43
100.27,1351.06
100.91,1340.43
101.01,1351.06
101.02,1340.43
101.01,1340.43
100.97,1351.06
100.94,1351.06
100.92,1340.43
100.90,1351.06
100.88,1340.43
100.86,1340.43
100.84,1340.43
100.83,1340.43
100.81,1340.43
100.80,1340.43
