Kraft_RAW,Spænding_V
-0.00,436.17
0.00,425.53
-0.00,425.53
-0.00,425.53
-0.00,414.89
-0.00,425.53
-0.00,425.53
-0.00,425.53
-0.00,414.89
-0.00,425.53
0.00,425.53
0.00,425.53
0.00,414.89
0.00,425.53
-0.00,425.53
0.00,414.89
-0.00,425.53
0.00,425.53
-0.00,425.53
-0.00,425.53
-0.00,414.89
0.00,425.53
0.00,436.17
0.00,425.53
-0.00,436.17
0.00,425.53
0.00,425.53
-0.00,436.17
0.00,436.17
0.00,436.17
0.00,436.17
1.00,446.81
3.77,468.09
5.86,478.72
5.85,478.72
5.85,468.09
5.75,478.72
5.90,478.72
6.45,478.72
6.61,478.72
7.17,489.36
7.64,500.00
8.05,500.00
8.54,500.00
8.99,500.00
9.35,510.64
9.82,510.64
10.28,521.28
10.66,521.28
10.94,510.64
11.19,510.64
11.48,521.28
11.73,521.28
12.01,521.28
12.27,521.28
12.57,531.91
12.84,542.55
13.11,531.91
13.47,542.55
13.77,542.55
14.05,542.55
14.48,542.55
14.88,553.19
15.11,553.19
15.34,553.19
15.60,563.83
15.90,563.83
16.22,563.83
16.52,563.83
16.74,574.47
16.97,574.47
17.23,585.11
17.53,585.11
17.95,574.47
18.27,585.11
18.56,585.11
18.89,595.74
19.42,595.74
19.76,595.74
20.07,595.74
20.43,595.74
20.71,606.38
20.97,595.74
21.24,606.38
21.59,606.38
22.04,617.02
22.53,617.02
22.99,617.02
23.37,627.66
23.76,627.66
24.11,638.30
24.31,627.66
24.39,627.66
24.41,638.30
24.60,638.30
24.92,648.94
25.52,648.94
25.98,648.94
26.65,659.57
27.26,670.21
27.84,670.21
28.36,670.21
28.82,670.21
29.17,680.85
29.53,691.49
29.73,680.85
30.17,691.49
30.58,691.49
31.01,691.49
31.54,702.13
32.10,702.13
32.57,702.13
33.15,712.77
33.61,723.40
34.15,723.40
34.53,734.04
35.09,734.04
35.43,723.40
35.91,734.04
36.33,755.32
36.87,744.68
37.62,765.96
38.47,776.60
39.36,776.60
40.10,776.60
40.34,776.60
40.35,776.60
40.34,776.60
40.52,787.23
41.19,797.87
42.06,797.87
42.96,808.51
43.87,808.51
44.71,819.15
45.52,829.79
46.31,840.43
47.14,840.43
47.90,851.06
48.70,861.70
49.47,861.70
50.09,872.34
50.78,872.34
51.45,882.98
52.23,893.62
52.59,893.62
52.63,882.98
52.67,904.26
53.60,914.89
54.57,904.26
55.32,914.89
56.06,936.17
56.81,936.17
57.48,936.17
58.18,946.81
58.73,957.45
59.37,957.45
59.97,957.45
60.39,957.45
60.87,968.09
61.40,978.72
61.97,989.36
62.63,989.36
63.43,1000.00
64.08,1000.00
64.93,1010.64
66.03,1021.28
67.16,1021.28
67.90,1031.91
68.76,1042.55
69.50,1053.19
70.12,1053.19
70.42,1053.19
70.57,1053.19
70.71,1063.83
71.19,1063.83
71.97,1074.47
72.92,1085.11
73.80,1085.11
74.67,1095.74
75.36,1106.38
76.24,1106.38
77.29,1117.02
78.07,1127.66
78.82,1127.66
79.30,1138.30
80.23,1138.30
81.28,1159.57
82.10,1148.94
82.38,1159.57
82.27,1159.57
82.27,1148.94
82.25,1159.57
82.84,1159.57
83.60,1180.85
84.53,1180.85
85.35,1180.85
86.02,1191.49
86.95,1202.13
87.58,1212.77
88.46,1212.77
89.60,1223.40
90.52,1234.04
91.27,1244.68
92.17,1255.32
93.06,1255.32
93.65,1265.96
94.25,1265.96
94.88,1265.96
95.31,1276.60
95.78,1276.60
96.17,1287.23
96.63,1276.60
97.03,1287.23
97.42,1287.23
97.86,1287.23
98.23,1287.23
98.43,1297.87
98.92,1308.51
99.39,1308.51
99.47,1297.87
99.44,1308.51
99.75,1308.51
100.20,1308.51
100.48,1319.15
100.54,1308.51
100.51,1308.51
100.47,1308.51
100.44,1308.51
100.42,1308.51
100.40,1308.51
100.38,1308.51
100.36,1308.51
