Kraft_RAW,Spænding_V
-0.00,542.55
-0.00,531.91
-0.00,542.55
-0.00,531.91
-0.00,542.55
-0.00,531.91
0.00,531.91
0.00,542.55
-0.00,531.91
0.00,531.91
-0.00,531.91
-0.00,531.91
0.00,542.55
-0.00,542.55
-0.00,531.91
0.00,531.91
-0.00,531.91
0.00,542.55
-0.00,542.55
-0.00,531.91
-0.00,542.55
0.00,542.55
-0.00,542.55
-0.00,542.55
-0.00,542.55
-0.00,542.55
-0.00,542.55
-0.00,542.55
-0.00,542.55
0.00,531.91
0.13,553.19
1.63,563.83
2.83,563.83
2.83,563.83
2.71,574.47
3.23,563.83
3.23,574.47
3.85,574.47
4.34,585.11
5.15,585.11
5.95,595.74
6.67,595.74
7.27,606.38
7.98,606.38
8.63,617.02
9.31,617.02
10.02,627.66
10.85,627.66
11.70,638.30
12.85,659.57
14.04,659.57
14.68,659.57
14.64,659.57
15.41,680.85
16.88,691.49
18.07,691.49
19.19,702.13
19.80,702.13
20.19,712.77
20.70,712.77
21.17,723.40
21.77,723.40
22.59,734.04
22.99,734.04
23.29,734.04
23.71,744.68
24.32,744.68
24.89,755.32
25.49,755.32
26.13,765.96
26.37,765.96
26.44,765.96
27.45,776.60
27.89,787.23
28.65,787.23
29.00,787.23
29.70,797.87
30.47,808.51
31.83,819.15
32.68,840.43
33.63,840.43
34.46,851.06
35.25,851.06
36.03,851.06
36.36,851.06
36.60,861.70
36.98,861.70
37.38,872.34
38.37,882.98
39.66,893.62
40.06,893.62
40.50,893.62
40.84,904.26
41.16,893.62
41.02,914.89
41.61,914.89
42.84,925.53
43.56,936.17
44.56,946.81
45.73,968.09
46.66,957.45
47.63,968.09
48.74,978.72
49.85,989.36
50.75,1000.00
51.39,1000.00
51.51,1000.00
51.71,1010.64
52.63,1021.28
53.49,1021.28
54.21,1031.91
54.80,1042.55
55.32,1053.19
55.97,1053.19
56.63,1053.19
57.47,1063.83
58.25,1074.47
59.01,1085.11
60.11,1095.74
61.06,1095.74
61.74,1106.38
62.11,1106.38
62.19,1117.02
62.13,1117.02
62.51,1117.02
63.19,1127.66
63.91,1138.30
64.58,1138.30
65.45,1148.94
66.13,1138.30
66.58,1148.94
67.06,1159.57
67.64,1170.21
68.34,1170.21
68.76,1180.85
69.36,1191.49
69.99,1180.85
70.48,1191.49
71.05,1191.49
71.66,1202.13
71.53,1191.49
71.42,1191.49
72.12,1202.13
73.11,1223.40
74.17,1223.40
75.32,1244.68
75.98,1234.04
76.50,1244.68
77.37,1255.32
78.15,1255.32
78.87,1265.96
79.21,1265.96
79.87,1276.60
80.56,1276.60
80.64,1276.60
80.69,1276.60
81.59,1287.23
82.34,1297.87
83.18,1308.51
84.18,1319.15
85.51,1329.79
86.15,1329.79
86.81,1340.43
87.30,1340.43
87.58,1340.43
88.11,1351.06
88.91,1361.70
89.74,1361.70
90.37,1372.34
91.13,1382.98
91.85,1393.62
92.16,1393.62
92.32,1382.98
92.31,1393.62
93.21,1404.26
94.21,1414.89
95.13,1414.89
96.06,1425.53
96.99,1436.17
97.83,1446.81
98.59,1436.17
99.40,1457.45
100.29,1468.09
101.05,1457.45
101.17,1457.45
101.20,1457.45
101.16,1457.45
101.12,1468.09
101.09,1468.09
101.06,1457.45
101.04,1457.45
101.02,1457.45
101.00,1457.45
100.99,1457.45
