Kraft_RAW,Spænding_V
0.00,521.28
0.00,521.28
-0.00,521.28
-0.00,521.28
-0.00,521.28
-0.00,521.28
-0.00,521.28
0.00,521.28
0.00,531.91
0.00,531.91
0.00,531.91
-0.00,521.28
0.00,521.28
0.00,521.28
0.00,521.28
0.00,531.91
-0.00,521.28
0.00,531.91
0.00,521.28
0.00,531.91
0.00,531.91
0.00,531.91
0.00,531.91
0.00,510.64
-0.00,531.91
0.00,521.28
-0.00,521.28
0.00,531.91
0.00,521.28
0.00,521.28
0.00,531.91
0.00,531.91
0.01,531.91
0.05,531.91
0.02,542.55
0.68,531.91
1.19,531.91
1.80,531.91
2.15,531.91
2.62,542.55
3.15,542.55
3.40,542.55
3.90,531.91
4.56,553.19
4.99,542.55
4.93,542.55
4.96,542.55
5.95,553.19
6.93,553.19
8.06,574.47
9.02,563.83
9.84,553.19
10.37,553.19
10.62,574.47
11.31,563.83
11.67,574.47
12.32,574.47
13.17,563.83
13.88,563.83
13.99,574.47
14.27,574.47
14.97,585.11
15.73,585.11
16.20,585.11
16.23,574.47
16.05,574.47
16.36,585.11
17.11,585.11
17.55,574.47
17.73,595.74
18.12,595.74
18.49,595.74
19.00,595.74
19.62,595.74
19.86,606.38
20.62,595.74
21.34,595.74
21.80,595.74
21.85,606.38
22.42,606.38
23.40,606.38
23.81,606.38
24.46,617.02
25.51,617.02
25.45,617.02
25.96,617.02
26.44,617.02
26.84,617.02
27.11,627.66
27.38,627.66
27.90,627.66
28.30,627.66
28.51,627.66
28.77,627.66
28.99,627.66
29.51,648.94
29.90,648.94
30.18,638.30
30.23,638.30
30.21,638.30
30.23,638.30
30.56,638.30
30.98,648.94
31.19,638.30
32.07,648.94
32.55,648.94
32.64,638.30
33.14,659.57
33.50,648.94
33.61,648.94
33.90,648.94
34.56,659.57
35.70,659.57
36.14,659.57
36.62,659.57
36.95,670.21
37.35,659.57
37.59,670.21
38.11,680.85
38.54,680.85
38.77,680.85
38.78,680.85
39.13,680.85
39.29,670.21
38.39,670.21
38.15,670.21
38.75,680.85
39.36,680.85
39.89,680.85
40.18,680.85
40.42,680.85
40.70,691.49
41.05,691.49
41.46,691.49
41.78,680.85
42.03,680.85
42.17,702.13
42.49,702.13
43.23,702.13
43.95,691.49
43.99,702.13
44.24,702.13
44.37,702.13
44.61,702.13
43.76,702.13
43.61,702.13
44.31,702.13
44.97,702.13
44.95,712.77
45.07,702.13
45.66,712.77
46.01,712.77
46.35,723.40
46.58,712.77
46.73,723.40
47.11,723.40
47.39,723.40
47.64,723.40
48.00,723.40
48.00,723.40
46.92,723.40
47.52,723.40
47.83,723.40
48.53,734.04
49.05,734.04
49.53,734.04
49.94,734.04
50.16,734.04
50.09,744.68
50.18,744.68
50.48,734.04
50.51,734.04
50.53,744.68
50.59,734.04
50.67,734.04
50.77,744.68
50.23,734.04
49.63,744.68
49.71,744.68
49.43,723.40
49.27,744.68
49.37,723.40
49.29,734.04
49.75,744.68
50.40,744.68
50.70,744.68
51.02,744.68
50.57,744.68
50.75,734.04
50.78,744.68
50.76,734.04
50.43,734.04
50.44,744.68
50.92,734.04
50.97,744.68
50.61,744.68
50.70,755.32
51.18,744.68
51.48,744.68
51.58,755.32
51.36,755.32
51.58,744.68
51.55,755.32
52.24,744.68
52.02,744.68
52.15,744.68
52.24,755.32
52.68,755.32
52.48,755.32
53.05,755.32
54.38,765.96
55.02,765.96
54.57,755.32
54.50,755.32
54.12,765.96
54.25,765.96
54.40,765.96
54.63,765.96
54.51,776.60
54.48,765.96
54.60,765.96
55.15,765.96
54.97,765.96
55.52,776.60
55.82,765.96
55.67,765.96
56.45,776.60
56.72,776.60
56.60,787.23
57.66,776.60
57.17,797.87
57.72,787.23
58.17,787.23
58.35,787.23
58.08,797.87
59.12,787.23
59.15,797.87
59.45,797.87
60.12,787.23
60.63,808.51
61.13,808.51
61.42,808.51
61.91,819.15
62.59,819.15
63.42,840.43
65.22,829.79
65.04,829.79
65.60,829.79
66.36,840.43
67.61,851.06
68.70,851.06
69.50,861.70
71.28,872.34
72.16,872.34
71.32,861.70
70.69,872.34
71.27,882.98
72.22,882.98
73.15,882.98
73.38,893.62
74.20,893.62
74.34,893.62
74.13,893.62
74.80,904.26
76.69,914.89
77.75,925.53
78.05,914.89
78.39,925.53
79.16,936.17
79.81,936.17
79.81,936.17
80.43,936.17
81.48,946.81
83.02,968.09
84.92,978.72
86.28,989.36
87.01,978.72
86.27,978.72
86.41,978.72
86.33,989.36
86.99,978.72
87.60,978.72
87.30,989.36
88.45,1000.00
87.96,989.36
87.99,989.36
87.90,989.36
87.67,989.36
87.75,1000.00
87.94,1010.64
88.13,989.36
88.26,989.36
87.69,989.36
87.67,1000.00
89.32,1000.00
89.37,1010.64
89.49,1010.64
89.12,1000.00
89.37,1010.64
90.67,1010.64
91.27,1021.28
91.44,1021.28
91.36,1021.28
91.24,1021.28
91.52,1021.28
91.95,1021.28
92.08,1021.28
92.40,1031.91
92.91,1031.91
92.99,1042.55
93.63,1042.55
93.90,1042.55
94.06,1053.19
94.80,1042.55
95.15,1053.19
95.65,1063.83
96.47,1063.83
97.09,1074.47
97.51,1063.83
98.06,1074.47
98.44,1074.47
98.51,1074.47
98.97,1074.47
99.33,1085.11
99.96,1095.74
100.74,1095.74
100.81,1095.74
100.68,1095.74
