Kraft_RAW,Spænding_V
0.00,393.62
-0.00,393.62
0.00,393.62
0.00,393.62
0.00,382.98
-0.00,382.98
0.00,382.98
0.00,382.98
0.00,382.98
0.00,393.62
-0.00,382.98
-0.00,372.34
0.00,382.98
0.00,382.98
0.00,382.98
0.00,393.62
0.00,393.62
0.00,393.62
0.00,393.62
0.00,393.62
0.00,393.62
0.00,393.62
0.00,393.62
0.00,393.62
0.00,393.62
0.03,393.62
0.63,393.62
1.24,393.62
1.65,393.62
1.83,393.62
2.19,404.26
2.62,404.26
2.84,404.26
2.95,404.26
3.14,414.89
4.07,414.89
4.42,425.53
4.84,414.89
5.09,414.89
5.43,425.53
5.92,425.53
6.22,414.89
6.76,425.53
7.36,425.53
7.77,436.17
8.12,436.17
8.74,425.53
9.15,436.17
9.43,457.45
11.20,446.81
11.99,457.45
12.69,446.81
13.34,457.45
14.20,468.09
14.44,468.09
14.38,457.45
14.46,468.09
15.36,468.09
16.02,478.72
17.41,489.36
18.48,489.36
18.93,478.72
18.73,489.36
19.03,500.00
19.72,500.00
20.34,500.00
20.74,500.00
20.99,489.36
21.27,500.00
21.92,510.64
22.79,500.00
23.63,521.28
23.66,510.64
23.56,510.64
24.20,521.28
24.89,521.28
25.59,531.91
26.48,521.28
27.15,531.91
27.78,531.91
28.26,542.55
28.59,542.55
29.04,542.55
29.70,542.55
29.38,542.55
29.07,531.91
28.98,542.55
29.47,553.19
30.35,563.83
31.66,563.83
32.89,574.47
33.46,563.83
34.20,585.11
34.79,574.47
34.31,574.47
33.95,574.47
35.41,574.47
37.02,595.74
38.13,585.11
38.82,595.74
39.33,606.38
40.11,606.38
40.74,617.02
41.47,606.38
41.95,638.30
42.63,627.66
42.45,617.02
41.52,617.02
42.08,627.66
43.30,627.66
44.12,627.66
44.95,627.66
44.48,638.30
44.49,638.30
45.38,638.30
45.71,638.30
45.76,638.30
46.28,648.94
46.85,648.94
47.12,648.94
47.32,648.94
47.31,659.57
47.96,659.57
48.29,670.21
48.94,659.57
49.57,659.57
50.18,670.21
50.75,680.85
51.28,670.21
51.86,680.85
52.31,691.49
52.84,691.49
52.94,691.49
53.14,691.49
53.71,691.49
54.40,702.13
54.93,712.77
55.36,712.77
55.86,712.77
56.30,723.40
57.13,723.40
57.74,712.77
56.85,723.40
57.61,723.40
58.34,734.04
59.07,734.04
59.63,734.04
60.07,734.04
60.52,744.68
61.09,744.68
61.47,755.32
61.81,765.96
62.32,755.32
62.80,765.96
63.14,755.32
63.35,765.96
63.50,755.32
63.01,755.32
63.90,765.96
64.96,776.60
65.66,776.60
65.99,787.23
66.39,787.23
67.00,797.87
67.33,797.87
67.41,787.23
67.35,787.23
67.79,797.87
67.95,797.87
68.28,797.87
68.66,819.15
69.44,797.87
69.34,819.15
69.56,819.15
70.17,819.15
70.49,819.15
70.86,819.15
71.45,829.79
72.14,829.79
72.55,829.79
72.51,840.43
72.78,840.43
72.61,840.43
73.26,840.43
74.09,840.43
74.54,851.06
74.75,861.70
75.18,851.06
75.28,851.06
75.30,872.34
77.10,872.34
78.25,882.98
78.97,882.98
78.82,893.62
79.65,882.98
80.37,904.26
81.14,904.26
81.76,904.26
82.51,914.89
83.22,925.53
83.81,925.53
84.39,936.17
84.87,936.17
84.56,936.17
84.38,936.17
85.05,946.81
85.73,946.81
86.42,957.45
87.31,968.09
88.12,968.09
88.83,968.09
89.45,968.09
90.03,978.72
90.54,978.72
90.89,978.72
91.32,989.36
91.79,989.36
92.43,1000.00
93.31,1010.64
93.74,1021.28
94.36,1021.28
94.87,1021.28
95.29,1021.28
95.74,1031.91
96.19,1031.91
96.72,1042.55
97.46,1042.55
98.33,1031.91
97.65,1031.91
97.76,1053.19
98.86,1053.19
98.83,1063.83
99.49,1053.19
99.70,1063.83
100.02,1063.83
100.23,1063.83
100.35,1074.47
100.49,1063.83
100.48,1063.83
100.46,1074.47
100.44,1074.47
100.42,1063.83
100.41,1074.47
100.40,1074.47
100.38,1063.83
100.37,1074.47
100.36,1074.47
100.35,1074.47
100.34,1063.83
