Kraft_RAW,Spænding_V
0.00,1819.15
0.00,1819.15
0.00,1808.51
-0.00,1819.15
-0.00,1808.51
0.00,1819.15
-0.00,1808.51
0.00,1819.15
0.00,1819.15
0.00,1819.15
0.00,1819.15
0.00,1819.15
0.00,1819.15
-0.00,1819.15
0.00,1819.15
0.00,1819.15
0.00,1808.51
0.38,1819.15
1.63,1797.87
2.86,1808.51
3.72,1797.87
5.51,1787.23
7.16,1787.23
8.49,1776.60
10.40,1765.96
11.95,1765.96
12.99,1765.96
13.74,1755.32
15.18,1755.32
15.93,1744.68
16.82,1744.68
17.57,1744.68
18.01,1723.40
19.45,1712.77
20.89,1702.13
22.92,1702.13
24.21,1702.13
25.85,1691.49
27.23,1680.85
27.60,1670.21
28.70,1670.21
29.64,1670.21
30.17,1659.57
30.93,1648.94
32.09,1638.30
33.33,1638.30
34.22,1638.30
34.73,1606.38
36.90,1606.38
37.91,1617.02
38.34,1606.38
39.64,1595.74
40.25,1595.74
41.17,1595.74
41.24,1574.47
41.89,1574.47
42.81,1563.83
43.42,1563.83
43.87,1553.19
44.67,1553.19
45.66,1542.55
46.33,1542.55
46.94,1542.55
47.75,1531.92
48.07,1531.92
47.89,1521.28
48.44,1510.64
49.51,1510.64
50.46,1510.64
50.10,1510.64
50.23,1521.28
50.72,1489.36
51.78,1500.00
52.42,1478.72
53.28,1478.72
53.65,1478.72
54.20,1468.09
55.00,1457.45
55.66,1457.45
56.34,1457.45
57.27,1446.81
57.31,1457.45
57.11,1457.45
57.51,1436.17
58.86,1425.53
60.50,1425.53
61.56,1414.89
62.62,1404.26
63.50,1393.62
63.65,1404.26
62.99,1404.26
63.64,1393.62
64.58,1372.34
66.07,1372.34
66.81,1372.34
67.55,1351.06
68.55,1340.43
69.08,1351.06
69.03,1340.43
69.97,1329.79
70.64,1319.15
71.85,1319.15
73.05,1297.87
73.98,1297.87
74.62,1297.87
75.26,1297.87
75.03,1276.60
77.32,1255.32
78.91,1244.68
79.89,1244.68
80.09,1244.68
80.59,1244.68
80.99,1255.32
80.61,1244.68
81.42,1234.04
82.51,1223.40
83.00,1223.40
83.34,1212.77
83.97,1212.77
84.42,1202.13
85.45,1212.77
86.31,1191.49
86.79,1180.85
87.52,1180.85
88.08,1170.21
88.56,1180.85
89.24,1148.94
89.94,1159.57
90.66,1159.57
90.73,1138.30
92.43,1138.30
93.20,1148.94
93.61,1117.02
94.13,1127.66
94.94,1117.02
95.49,1106.38
95.87,1117.02
96.37,1106.38
96.64,1095.74
97.23,1095.74
97.70,1085.11
98.18,1085.11
98.63,1095.74
98.94,1074.47
99.24,1074.47
99.52,1074.47
100.03,1085.11
100.40,1063.83
100.35,1063.83
100.25,1063.83
100.58,1063.83
100.64,1074.47
100.67,1063.83
100.68,1063.83
100.66,1063.83
100.64,1063.83
100.63,1063.83
100.61,1063.83
100.60,1063.83
100.59,1063.83
100.57,1074.47
