Kraft_RAW,Spænding_V
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,723.40
-0.00,734.04
-0.00,723.40
-0.00,734.04
-0.00,723.40
-0.00,723.40
-0.00,734.04
-0.00,744.68
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,723.40
-0.00,734.04
-0.00,702.13
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,734.04
-0.00,744.68
0.00,734.04
-0.00,723.40
-0.00,744.68
0.10,734.04
0.61,734.04
1.30,734.04
1.88,734.04
2.41,744.68
3.20,744.68
3.87,744.68
4.35,734.04
4.41,734.04
5.66,744.68
6.33,744.68
6.98,744.68
7.40,744.68
7.67,734.04
7.98,734.04
8.24,744.68
8.59,734.04
9.47,744.68
10.40,744.68
11.06,744.68
11.45,744.68
11.77,755.32
12.07,734.04
12.48,744.68
12.79,744.68
12.82,744.68
13.49,744.68
14.32,744.68
15.18,755.32
15.66,755.32
16.06,744.68
16.62,755.32
17.01,744.68
17.45,755.32
17.72,755.32
18.08,755.32
18.36,755.32
18.69,755.32
19.03,744.68
19.60,755.32
20.29,755.32
20.82,755.32
21.39,755.32
21.10,755.32
20.96,755.32
21.37,765.96
21.99,755.32
22.75,765.96
23.39,755.32
23.82,765.96
24.25,755.32
24.77,755.32
25.50,765.96
25.97,765.96
26.17,765.96
26.76,765.96
27.11,755.32
27.23,755.32
27.63,765.96
27.36,765.96
27.23,744.68
28.34,765.96
29.07,776.60
29.77,765.96
30.50,765.96
30.96,765.96
31.54,765.96
32.37,765.96
33.27,765.96
33.71,776.60
34.12,787.23
34.39,776.60
34.72,787.23
34.98,776.60
35.40,797.87
36.06,797.87
36.61,776.60
37.10,787.23
37.49,787.23
37.77,787.23
38.05,787.23
38.49,797.87
38.99,787.23
39.20,787.23
39.43,787.23
39.85,797.87
39.87,797.87
40.06,787.23
40.49,797.87
40.88,787.23
41.04,787.23
41.23,797.87
41.24,797.87
41.99,797.87
42.77,797.87
43.57,797.87
44.44,797.87
45.00,797.87
45.68,797.87
46.42,808.51
47.19,797.87
47.60,808.51
48.25,808.51
48.41,808.51
48.73,808.51
50.61,819.15
51.85,808.51
52.52,819.15
53.45,829.79
54.66,829.79
55.38,829.79
55.00,829.79
55.02,829.79
56.32,840.43
56.91,840.43
57.76,840.43
59.25,851.06
60.40,861.70
61.31,861.70
62.11,851.06
62.73,851.06
63.20,851.06
63.60,851.06
64.13,861.70
64.77,861.70
64.94,861.70
64.47,861.70
64.44,851.06
64.85,861.70
65.62,861.70
66.54,872.34
67.19,882.98
67.93,872.34
68.53,882.98
69.20,872.34
69.76,882.98
70.54,882.98
71.11,893.62
71.60,893.62
71.99,893.62
72.76,904.26
73.65,893.62
74.53,904.26
75.04,904.26
75.56,904.26
76.25,914.89
76.70,904.26
77.25,904.26
77.58,914.89
77.92,914.89
78.35,925.53
79.36,936.17
80.25,914.89
80.14,925.53
79.97,925.53
81.31,925.53
82.00,936.17
83.06,946.81
83.82,946.81
84.47,946.81
85.64,957.45
86.37,957.45
86.91,957.45
87.28,957.45
87.65,957.45
88.10,968.09
88.41,968.09
88.71,957.45
89.09,968.09
89.60,978.72
90.22,968.09
90.87,968.09
91.60,978.72
92.25,968.09
92.80,989.36
93.33,989.36
94.16,1000.00
94.37,989.36
94.27,978.72
94.01,989.36
95.89,1000.00
97.02,1010.64
97.78,1021.28
98.58,1010.64
99.23,1010.64
99.80,1010.64
100.31,1021.28
100.94,1031.91
101.07,1021.28
100.99,1021.28
100.96,1021.28
100.93,1021.28
100.91,1031.91
100.89,1010.64
100.87,1021.28
100.86,1031.91
100.85,1031.91
100.83,1021.28
100.82,1021.28
100.81,1031.91
100.80,1021.28
100.78,1021.28
